Group,,Label (Eng),Label (VN),Diễn giải,
Activity (áp dụng cho all concept),Open,Grand Opening,Khai trương chi nhánh mới,Các hoạt động khai trương cửa hàng,Activity
,MG,Mini-game,Trò chơi trên fanpage,Trò chơi có thưởng trên fanpage,Activity
,Gpro,General Promotion,Các chương trình ưu đãi/ khuyến mãi,Các chương trình khuyến mãi,Activity
,Jpro,Joint Promotion,,Chương trình khuyến mãi kết hợp,Activity
,Ev,Event,Sự kiện,"Các sự kiện tổ chức tại nhà hàng, có biểu diễn nghệ thuật,...",Activity
,NDs,New dishes / New drinks,Món ăn mới/ Thức uống mới,"Giới thiệu món mới (đồ ăn hoặc đồ uống), nhận xét về món mới. Thêm 1 type này cho các nội dung add vào Bi-weekly",Activity
,Env,Environment Friendly,Thân thiện với môi trường,"Các hoạt động chương trình mang thông điệp bảo vệ môi trường (như thay đổi packaging thân thiện môi trường, mang ly đi được upsize miễn phí,...)",Activity
,Gac,G-activity,Các hoạt động GGG,Các hoạt động nội bộ được GGG tổ chức cho nhân viên tham gia (thường có hashtag G-smile),Activity
,Cpg,Campaign <Insert Campaign Name>,Chiến dịch <_>,Chiến dịch quảng cáo có tên và thông điệp cụ thể,Activity
Food (áp dụng cho all concept),FD,Food display,Trình bày đồ ăn,Nhận xét về cách trình bày đồ ăn,Attribute
,FT,Taste,Hương vị món ăn,"Hương vị của món ăn, đồ ăn có ngon, hợp khẩu vị không",Attribute
,SSg,Seasoning,Nước sốt,"Nước xốt, xốt có đậm đà, hợp với đồ ăn",Attribute
,SDs,Side dishes,Đồ ăn kèm,"Đồ ăn kèm, các món ăn kèm có nhiều không, ngon không",Attribute
,Menu,Menu variety,Thực đơn phong phú/ Thông tin thực đơn,"Độ đa dạng của menu, menu có nhiều món không, menu đa dạng nhiều sự lựa chọn không",Attribute
,Bev,Beverage,Đồ uống,Nước uống pha chế ngon không,Attribute
,Fhy,Food hygiene,An toàn thực phẩm,"Chất lượng đồ ăn có hợp vệ sinh, an toàn thực phẩm không",
,FDg,Food Packaging,,,Attribute
"Restaurant (chỉ áp dụng cho BBQ, Hotpot, Japanese, Chinese Concept)",SDr,Space & Decoration,Không gian,"Không gian và trang trí của nhà hàng, trang trí, cơ sở vật chất bên trong",Attribute
,Dst,Distribution,Hệ thống chi nhánh,"Chi nhánh có ở trung tâm không, có nhiều chi nhánh không",Attribute
,Rhy,Restaurant hygiene & safety,An toàn/ vệ sinh nhà hàng,Chất lượng vệ sinh và sự an toàn của nhà hàng,Attribute
Brand (áp dụng cho all concept),Love,Brand love,Thái độ về thương hiệu,Sự yêu thích / ghét đối với nhà hàng,Attribute
,Rec,Recruitment,Chương trình tuyển dụng,Thông tin tuyển dụng nhà hàng,Activity
,Comp,Comparison with others,So sánh thương hiệu,So sánh với các nhà hàng khác,Activity
,Pr,Price,Giá cả,Thông tin giá cả,Attribute
,CS,Customer service,Dịch vụ khách hàng,"Dịch vụ khách hàng, thái độ phục vụ của nhân viên",Attribute
,Go,Willing to go,Sẵn lòng trải nghiệm,"Check-in tại nhà hàng, đã đang sẽ đi",Activity
,Deli,Delivery service,Dịch vụ giao hàng,Dịch vụ giao hàng của nhà hàng,Attribute
,Corp,Corporation,Thông tin tập đoàn,Các thông tin về tập đoàn GGG,Activity
,Ow,Owners,Thông tin về chủ sở hữu,Các thông tin về chủ sở hữu nhà hàng (chỉ xuất hiện ở các brand đối thủ),Activity
Drinks (chỉ áp dụng choTaiwan & Beer Concept),DT,Taste,Hương vị đồ uống,Hương vị đồ uống,Attribute
,Menu,Menu variety,Thực đơn phong phú,"Độ đa dạng của menu đồ uống, có các đồ uống khác như rượu hay không
",Attribute
,Tp,Toppings,Topping,"Topping trên pizza, trong các đồ uống",Attribute
,Dhy,Drinks hygiene,An toàn đồ uống,"Chất lượng đồ uống có hợp vệ sinh, an toàn thực phẩm không",Attribute
,Org,Origin,"Nguồn gốc, xuất xứ","Nguồn gốc, xuất xứ của nguyên vật liệu, có thương hiệu đồ uống",Attribute
,DPg,Drink Packaging,"Nói về loại li mới, hộp mới","Bao bì (mẫu ly, hộp pizza,...), nếu thay đổi mẫu mã thân thiện với môi trường thì chia vào Enviroment friendly, không chia vào đây",Attribute
Beer Station (chỉ áp dụng cho Beer Concept),DBk,Direct Booking,Booking,Liên hệ trực tiếp đặt bàn,Activity
,DJ,DJs & Dancers,Nhận xét về DJ / Dancers,DJs và Dancers,Attribute
,Space,Space & environment,Không gian,"Không gian và môi trường, bao gồm cả nhạc",Attribute
,Serc,Security,An ninh,"Vấn đề an ninh, an toàn",Attribute
,Dist,Distribution,Hệ thống chi nhánh,"Chi nhánh có ở trung tâm không, có nhiều chi nhánh không",Attribute
,BeHy,Beer station hygiene,Vệ sinh chi nhánh,Chất lượng vệ sinh của beer station,Attribute
Store (chỉ áp dụng cho Taiwan Concept),Space,Space & Decoration,Không gian,Không gian và trang trí của nhà hàng,Attribute
,Dst,Distribution,Hệ thống chi nhánh,"Chi nhánh có ở trung tâm không, có nhiều chi nhánh không",Attribute
,Shy,Store hygiene & safety,An toàn/ vệ sinh cửa hàng,Chất lượng vệ sinh và sự an toàn của nhà hàng,Attribute
,,,,,
,ID,Full,Acronym,,
,5cd67ebc5e44687376863593,Activity,,,
,5cd67f425e446873768635a0,Grand Opening,Open,,
,5cd67f9a5e446873768635a3,Mini-game,MG,,
,5cd67fbb5e446873768635a4,General Promotion,Gpro,,
,5cd67fc85e446873768635a5,Campaign,Cpg,,
,5cde2a884f27618263cd991c,Event,Ev,,
,5cdff37f4f27618263cdec04,New Dishes / New Drinks,NDs,,
,5ceb8a098afbbe1b33fb3b2c,Sponsorship,,,
,5d196b98587769de5a18ce3a,G Activity,Gac,,
,5d197185587769de5a18d192,Joint Promotion,Jpro,,
,5d1971b2587769de5a18d1c6,Environment Friendly,Envir,,
,5cd67ec15e44687376863594,Food,,,
,5cd67fe45e446873768635a6,Taste,FT,,
,5cd67ff95e446873768635a7,Seasoning,SSg,,
,5cd680405e446873768635ac,Side dishes,SDs,,
,5cd680495e446873768635ae,Menu variety,Menu,,
,5cd680535e446873768635b1,Beverage,Bev,,
,5cd680605e446873768635b2,Food hygiene,Fhy,,
,5d196bc6587769de5a18ce5f,Food Display,FD,,
,5d1973e7587769de5a18d2bb,Food Packaging,FPg,,
,5cd67ec75e44687376863595,Restaurant,,,
,5cd680785e446873768635b3,Space & Decoration,RSDr,,
,5cd680845e446873768635b4,Distribution,Dst,,
,5cd6809c5e446873768635b5,Restaurant hygiene & safety,,,
,5cd67ecc5e44687376863596,Brand,,,
,5cd680ae5e446873768635b6,Brand love,Love,,
,5cd680bd5e446873768635b7,Recruitment,Rec,,
,5cd681175e446873768635cb,Comparison with others,Comp,,
,5cd681325e446873768635cc,Price,Pr,,
,5cd681405e446873768635cd,Customer service,CS,,
,5cd681505e446873768635ce,Willing to go,Go,,
,5cd681f05e446873768635d7,Delivery service,Deli,,
,5cdbe2e4e868e56f3bdc077f,Corporation,Corp,,
,5d19720a587769de5a18d238,Owners,Ow,,
,5cd67ed55e44687376863597,Drinks,,,
,5cd681ac5e446873768635d2,Taste,DT,,
,5cd681b95e446873768635d3,Brewery,DB,,
,5cd681c65e446873768635d4,Menu variety,Menu,,
,5cd6820d5e446873768635d8,Toppings,Tp,,
,5cd682215e446873768635d9,Origin,Or,,
,5cf778d053eb5d1a63f04e56,Drinks hygiene,Dhy,,
,5d197363587769de5a18d29b,Drink Packaging,DPg,,
,5cd67edb5e44687376863598,Beer Station,BSt,,
,5cd6827b5e446873768635dd,Space & environment,Space,,
,5cd682b35e446873768635df,Security,Serc,,
,5cd682ca5e446873768635e0,Distribution,Dst,,
,5cd682e15e446873768635e1,Beer station hygiene,Bhy,,
,5d197407587769de5a18d2c6,Direct Booking,DBk,,
,5d197416587769de5a18d2d1,DJs & Dancers,DJ,,
,5cd67eef5e44687376863599,Store,St,,
,5cd682495e446873768635da,Space & Decoration,SDr,,
,5cd682555e446873768635db,Distribution,SDst,,
,5cd682665e446873768635dc,Store hygiene & safety,Shy,,
