Group,,Label (Eng),Label (VN),Di?n gi?i,
Activity (áp d?ng cho all concept),Open,Grand Opening,Khai tr??ng chi nhánh m?i,Các ho?t ??ng khai tr??ng c?a hàng,Activity
,MG,Mini-game,Trò ch?i trên fanpage,Trò ch?i có th??ng trên fanpage,Activity
,Gpro,General Promotion,Các ch??ng trình ?u ?ãi/ khuy?n mãi,Các ch??ng trình khuy?n mãi,Activity
,Jpro,Joint Promotion,,Ch??ng trình khuy?n mãi k?t h?p,Activity
,Ev,Event,S? ki?n,"Các s? ki?n t? ch?c t?i nhà hàng, có bi?u di?n ngh? thu?t,...",Activity
,NDs,New dishes / New drinks,Món ?n m?i/ Th?c u?ng m?i,"Gi?i thi?u món m?i (?? ?n ho?c ?? u?ng), nh?n xét v? món m?i. Thêm 1 type này cho các n?i dung add vào Bi-weekly",Activity
,Env,Environment Friendly,Thân thi?n v?i môi tr??ng,"Các ho?t ??ng ch??ng trình mang thông ?i?p b?o v? môi tr??ng (nh? thay ??i packaging thân thi?n môi tr??ng, mang ly ?i ???c upsize mi?n phí,...)",Activity
,Gac,G-activity,Các ho?t ??ng GGG,Các ho?t ??ng n?i b? ???c GGG t? ch?c cho nhân viên tham gia (th??ng có hashtag G-smile),Activity
,Cpg,Campaign <Insert Campaign Name>,Chi?n d?ch <_>,Chi?n d?ch qu?ng cáo có tên và thông ?i?p c? th?,Activity
Food (áp d?ng cho all concept),FD,Food display,Trình bày ?? ?n,Nh?n xét v? cách trình bày ?? ?n,Attribute
,FT,Taste,H??ng v? món ?n,"H??ng v? c?a món ?n, ?? ?n có ngon, h?p kh?u v? không",Attribute
,SSg,Seasoning,N??c s?t,"N??c x?t, x?t có ??m ?à, h?p v?i ?? ?n",Attribute
,SDs,Side dishes,?? ?n kèm,"?? ?n kèm, các món ?n kèm có nhi?u không, ngon không",Attribute
,Menu,Menu variety,Th?c ??n phong phú/ Thông tin th?c ??n,"?? ?a d?ng c?a menu, menu có nhi?u món không, menu ?a d?ng nhi?u s? l?a ch?n không",Attribute
,Bev,Beverage,?? u?ng,N??c u?ng pha ch? ngon không,Attribute
,Fhy,Food hygiene,An toàn th?c ph?m,"Ch?t l??ng ?? ?n có h?p v? sinh, an toàn th?c ph?m không",
,FDg,Food Packaging,,,Attribute
"Restaurant (ch? áp d?ng cho BBQ, Hotpot, Japanese, Chinese Concept)",SDr,Space & Decoration,Không gian,"Không gian và trang trí c?a nhà hàng, trang trí, c? s? v?t ch?t bên trong",Attribute
,Dst,Distribution,H? th?ng chi nhánh,"Chi nhánh có ? trung tâm không, có nhi?u chi nhánh không",Attribute
,Rhy,Restaurant hygiene & safety,An toàn/ v? sinh nhà hàng,Ch?t l??ng v? sinh và s? an toàn c?a nhà hàng,Attribute
Brand (áp d?ng cho all concept),Love,Brand love,Thái ?? v? th??ng hi?u,S? yêu thích / ghét ??i v?i nhà hàng,Attribute
,Rec,Recruitment,Ch??ng trình tuy?n d?ng,Thông tin tuy?n d?ng nhà hàng,Activity
,Comp,Comparison with others,So sánh th??ng hi?u,So sánh v?i các nhà hàng khác,Activity
,Pr,Price,Giá c?,Thông tin giá c?,Attribute
,CS,Customer service,D?ch v? khách hàng,"D?ch v? khách hàng, thái ?? ph?c v? c?a nhân viên",Attribute
,Go,Willing to go,S?n lòng tr?i nghi?m,"Check-in t?i nhà hàng, ?ã ?ang s? ?i",Activity
,Deli,Delivery service,D?ch v? giao hàng,D?ch v? giao hàng c?a nhà hàng,Attribute
,Corp,Corporation,Thông tin t?p ?oàn,Các thông tin v? t?p ?oàn GGG,Activity
,Ow,Owners,Thông tin v? ch? s? h?u,Các thông tin v? ch? s? h?u nhà hàng (ch? xu?t hi?n ? các brand ??i th?),Activity
Drinks (ch? áp d?ng choTaiwan & Beer Concept),DT,Taste,H??ng v? ?? u?ng,H??ng v? ?? u?ng,Attribute
,Menu,Menu variety,Th?c ??n phong phú,"?? ?a d?ng c?a menu ?? u?ng, có các ?? u?ng khác nh? r??u hay không",
"	Attribute																				",,,,,
,Tp,Toppings,Topping,"Topping trên pizza, trong các ?? u?ng",Attribute
,Dhy,Drinks hygiene,An toàn ?? u?ng,"Ch?t l??ng ?? u?ng có h?p v? sinh, an toàn th?c ph?m không",Attribute
,Org,Origin,"Ngu?n g?c, xu?t x?","Ngu?n g?c, xu?t x? c?a nguyên v?t li?u, có th??ng hi?u ?? u?ng",Attribute
,DPg,Drink Packaging,"Nói v? lo?i li m?i, h?p m?i","Bao bì (m?u ly, h?p pizza,...), n?u thay ??i m?u mã thân thi?n v?i môi tr??ng thì chia vào Enviroment friendly, không chia vào ?ây",Attribute
Beer Station (ch? áp d?ng cho Beer Concept),DBk,Direct Booking,Booking,Liên h? tr?c ti?p ??t bàn,Activity
,DJ,DJs & Dancers,Nh?n xét v? DJ / Dancers,DJs và Dancers,Attribute
,Space,Space & environment,Không gian,"Không gian và môi tr??ng, bao g?m c? nh?c",Attribute
,Serc,Security,An ninh,"V?n ?? an ninh, an toàn",Attribute
,Dist,Distribution,H? th?ng chi nhánh,"Chi nhánh có ? trung tâm không, có nhi?u chi nhánh không",Attribute
,BeHy,Beer station hygiene,V? sinh chi nhánh,Ch?t l??ng v? sinh c?a beer station,Attribute
Store (ch? áp d?ng cho Taiwan Concept),Space,Space & Decoration,Không gian,Không gian và trang trí c?a nhà hàng,Attribute
,Dst,Distribution,H? th?ng chi nhánh,"Chi nhánh có ? trung tâm không, có nhi?u chi nhánh không",Attribute
,Shy,Store hygiene & safety,An toàn/ v? sinh c?a hàng,Ch?t l??ng v? sinh và s? an toàn c?a nhà hàng,Attribute
